"day","trump_mentions"
"01","36"
"02","76"
"03","103"
"04","232"
"05","19"
"06","39"
"07","81"
"08","94"
"09","152"
"10","83"
"11","121"
"12","52"
"13","63"
"14","176"
"15","159"
"16","163"
"17","190"
"18","114"
"19","55"
"20","89"
"21","286"
"22","154"
"23","150"
"24","141"
"25","128"
"26","61"
"27","24"
"28","204"
"29","126"
"30","103"
"31","82"
