"day","trump_mentions"
"1","30"
"2","67"
"3","101"
"4","50"
"5","31"
"6","91"
"7","81"
"8","117"
"9","124"
"10","70"
"11","98"
"12","19"
"13","67"
"14","204"
"15","262"
"16","242"
"17","264"
"18","168"
"19","86"
"20","128"
"21","202"
"22","240"
"23","271"
"24","281"
"25","271"
"26","107"
"27","66"
"28","255"
"29","199"
"30","186"
"31","191"
