"day","trump_mentions"
"01","38"
"02","84"
"03","137"
"04","252"
"05","55"
"06","148"
"07","92"
"08","106"
"09","157"
"10","105"
"11","125"
"12","54"
"13","66"
"14","198"
"15","247"
"16","330"
"17","297"
"18","179"
"19","77"
"20","135"
"21","437"
"22","340"
"23","307"
"24","479"
"25","394"
"26","125"
"27","86"
"28","324"
"29","246"
"30","290"
"31","254"
