"month","trump_mentions"
"2016-11","982"
"2016-12","1058"
"2017-01","2358"
"2017-02","1127"
"2017-03","973"
"2017-04","781"
"2017-05","1432"
"2017-06","1120"
"2017-07","979"
"2017-08","4569"
"2017-09","1810"
"2017-10","1351"
"2017-11","1141"
"2017-12","1711"
"2018-01","3066"
