"month","trump_mentions"
"2016-11","987"
"2016-12","1067"
"2017-01","1739"
"2017-02","768"
"2017-03","702"
"2017-04","699"
"2017-05","1217"
"2017-06","875"
"2017-07","776"
"2017-08","3556"
"2017-09","1245"
"2017-10","1141"
"2017-11","1241"
"2017-12","1602"
"2018-01","3005"
